"","class","pland","pd","ed","shape_mn","pa"
"93",1,84.7826087,1207.729469,1304.347826,2.094712513,1
"94",1,82.60869565,1207.729469,1449.275362,2.064741605,1
"95",1,84.7826087,1207.729469,1231.884058,1.924870958,1
"96",1,88.04347826,1207.729469,1123.188406,1.833333333,1
"97",1,88.04347826,1207.729469,1050.724638,1.833333333,1
"98",1,86.95652174,1207.729469,1195.652174,1.900657781,1
"99",1,86.95652174,1207.729469,1231.884058,1.95655948,1
"100",1,85.86956522,1207.729469,1231.884058,1.968903827,1
"101",1,84.7826087,1207.729469,1231.884058,1.924870958,1
"102",1,83.69565217,1207.729469,1340.57971,1.994310088,1
"103",1,82.60869565,1207.729469,1413.043478,2.007387671,1
"104",1,83.69565217,1207.729469,1340.57971,1.994310088,1
"105",1,84.7826087,1207.729469,1340.57971,2.038098661,1
"106",1,84.7826087,1207.729469,1231.884058,1.924870958,1
"107",1,84.7826087,1207.729469,1231.884058,1.924870958,1
"108",1,85.86956522,1207.729469,1159.42029,1.856395037,1
"109",1,88.04347826,1207.729469,1123.188406,1.888888889,1
"110",1,88.04347826,1207.729469,1123.188406,1.888888889,1
"111",1,88.04347826,1207.729469,1123.188406,1.888888889,1
"112",1,90.2173913,1207.729469,978.2608696,1.75622816,1
"113",1,89.13043478,1207.729469,942.0289855,1.711688654,1
"114",1,89.13043478,1207.729469,942.0289855,1.711688654,1
"115",1,88.04347826,1207.729469,1123.188406,1.833333333,1
"116",1,88.04347826,1207.729469,1123.188406,1.833333333,1
"117",1,88.04347826,1207.729469,1123.188406,1.888888889,1
"118",1,84.61538462,1221.001221,1245.421245,1.9373298,1
"119",1,85.55555556,1234.567901,1185.185185,1.880349512,1
"120",1,84.7826087,1207.729469,1340.57971,2.038098661,1
"121",1,84.7826087,1207.729469,1304.347826,1.98148481,1
"122",1,85.71428571,1221.001221,1245.421245,1.924870958,1
"123",1,83.51648352,1221.001221,1538.461538,2.236803405,1
"124",0,82.60869565,1207.729469,1485.507246,2.122095538,1
"125",0,83.69565217,1207.729469,1557.971014,2.279211529,1
"126",1,83.69565217,1207.729469,1521.73913,2.108270665,1
"127",1,84.26966292,1248.439451,1460.674157,2.078460969,1
"128",1,84.7826087,1207.729469,1268.115942,1.98148481,1
"129",1,84.61538462,1221.001221,1282.051282,1.994310088,1
"130",0,82.60869565,1207.729469,1449.275362,2.064741605,1
"131",1,82.41758242,1221.001221,1428.571429,2.020725942,1
"132",1,84.26966292,1248.439451,1310.861423,1.962990915,1
"133",1,84.7826087,1207.729469,1231.884058,1.924870958,1
"134",1,86.95652174,1207.729469,1231.884058,2.01246118,1
"135",1,86.95652174,1207.729469,1195.652174,1.95655948,1
"136",1,88.04347826,1207.729469,1123.188406,1.833333333,1
"137",1,89.13043478,1207.729469,905.7971014,1.656472891,1
"138",1,90.2173913,1207.729469,797.1014493,1.59158177,1
"139",0,90.2173913,1207.729469,978.2608696,1.75622816,1
"140",1,85.86956522,1207.729469,1159.42029,1.856395037,1
"141",1,88.04347826,1207.729469,1014.492754,1.722222222,1
"142",1,85.86956522,1207.729469,1123.188406,1.800140641,1
"143",1,85.71428571,1221.001221,1245.421245,1.98148481,1
"144",1,84.7826087,1207.729469,1268.115942,1.98148481,1
"145",0,93.40659341,1221.001221,549.4505495,1.301582747,1
"146",1,88.04347826,1207.729469,1123.188406,1.833333333,1
"147",1,89.13043478,1207.729469,942.0289855,1.711688654,1
"148",1,89.13043478,1207.729469,869.5652174,1.601257128,1
"149",1,91.30434783,1207.729469,724.6376812,1.472970759,1
